TimeStep,DOW,HOD,DayLight,W-Humidity,W-Precipitation,W-Pressure,W-Temperature,W-Visibility,W-WindSpeed,W-Rain,W-Snow,W-Fog,W-Hail,Amenity,Bump,Crossing,Entrance,Give_Way,Junction,Noexit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Circle,Turning_Loop,geohash_code
2350,1,1,1,0,0,0,0,0,0,0,0,0,0,110,5,132,0,1,21,0,43,0,2,2,5,85,8,0,493
5792,1,0,1,0,0,0,0,0,0,0,0,0,0,167,71,224,10,25,22,0,0,1,28,51,71,268,27,0,359
2045,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,5,0,0,7,0,6,86,0,503
6307,0,2,1,0,0,0,0,0,0,0,0,0,0,97,11,13,0,0,13,21,18,0,8,2,11,65,11,0,468
4356,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,1,0,12,85,0,484
